_id,ltable_id,rtable_id,ltable_title,ltable_year,rtable_title,rtable_year
572,446670,551353,m?starnas match - ingo vs. floyd,1959,mästarnas match - ingo vs. floyd,1959.0
573,449384,237992,madonna: a case of blood ambition,1990,the best of... whats left of... not only... but also,1990.0
574,449384,529548,madonna: a case of blood ambition,1990,madonna: a case of blood ambition,1990.0
575,451858,616048,make love  not war,2012,sing me the songs that say i love you: a concert for kate mcgarrigle,2012.0
576,455833,532870,manila girl: ikaw ang aking panaginip,1995,manila girl: ikaw ang aking panaginip,1995.0
577,458805,168029,mark ronson & the business intl: somebody to love me,2010,no me la puc treure del cap,2010.0
578,459683,125483,martin just wants to be beautiful,2015,just add magic,2015.0
579,461440,33814,mater suspiria vision: seduction of the armageddon witches,2011,body of proof,2011.0
580,461440,180734,mater suspiria vision: seduction of the armageddon witches,2011,person of interest,2011.0
581,461440,235690,mater suspiria vision: seduction of the armageddon witches,2011,the adventures of superseven,2011.0
582,461440,657576,mater suspiria vision: seduction of the armageddon witches,2011,the economics of happiness,2011.0
583,462582,690828,max and drake: rule the world,2010,the weird world of blowfly,2010.0
584,462712,535707,maxed out: hard times  easy credit and the era of predatory lenders,2006,maxed out: hard times  easy credit and the era of predatory lenders,2006.0
585,462712,639266,maxed out: hard times  easy credit and the era of predatory lenders,2006,tales of the rat fink,2006.0
586,465268,201144,mega ran & bag of tricks cat: bound to be,2015,sasha  the princess of darkness,2015.0
587,465268,350165,mega ran & bag of tricks cat: bound to be,2015,animal house of blues 33 1/3,2015.0
588,465268,427477,mega ran & bag of tricks cat: bound to be,2015,el making of del disc de la marató,2015.0
589,465268,503017,mega ran & bag of tricks cat: bound to be,2015,knight of cups,2015.0
590,466061,537711,mel karade rabba,2010,mel karade rabba,2010.0
591,466699,236511,memoirs of the last samurai's geisha,2008,the art of... when youre hot  young  poor and a filmmaker!,2008.0
592,466699,540256,memoirs of the last samurai's geisha,2008,middle of nowhere,2008.0
593,466699,572939,memoirs of the last samurai's geisha,2008,patti smith: dream of life,2008.0
594,466699,584555,memoirs of the last samurai's geisha,2008,public enemies: the golden age of the gangster film,2008.0
